"Time","Position","Velocity","Acceleration"
0.1,0.260,0.147,-0.229
0.2,0.276,0.128,-0.281
0.3,0.288,0.098,-0.356
0.4,0.297,0.057,-0.431
0.5,0.300,0.008,-0.470
0.6,0.299,-0.041,-0.461
0.7,0.291,-0.088,-0.412
0.8,0.280,-0.126,-0.337
0.9,0.266,-0.156,-0.241
1.0,0.248,-0.176,-0.121
1.1,0.229,-0.183,0.029
1.2,0.210,-0.172,0.203
1.3,0.194,-0.144,0.371
1.4,0.179,-0.090,0.442
1.5,0.176,-0.039,0.355
1.6,0.175,-0.016,0.246
1.7,0.174,-0.005,0.280
1.8,0.171,0.028,0.420
1.9,0.177,0.089,0.473
2.0,0.190,0.138,0.373
2.1,0.206,0.167,0.212
2.2,0.225,0.179,0.052
2.3,0.243,0.176,-0.088
2.4,0.261,0.160,-0.213
2.5,0.276,0.133,-0.324
2.6,0.288,0.093,-0.409
2.7,0.296,0.048,-0.457
2.8,0.298,-0.001,-0.467
2.9,0.295,-0.048,-0.439
3.0,0.288,-0.092,-0.375
3.1,0.276,-0.126,-0.281
3.2,0.261,-0.146,-0.206
3.3,0.247,-0.164,-0.150
3.4,0.229,-0.184,-0.009
3.5,0.208,-0.175,0.219
3.6,0.192,-0.138,0.415
3.7,0.178,-0.080,0.480
3.8,0.175,-0.024,0.367
3.9,0.177,-0.003,0.218
4.0,0.177,0.003,0.221
4.1,0.176,0.026,0.367
4.2,0.178,0.082,0.464
4.3,0.192,0.138,0.381
4.4,0.209,0.166,0.205
4.5,0.227,0.176,0.041
4.6,0.245,0.171,-0.092
4.7,0.262,0.154,-0.186
4.8,0.277,0.129,-0.226
4.9,0.288,0.104,-0.219
5.0,0.295,0.086,-0.200
